# k=12, q=4049, f=32, split=AFS, N=33554432
# Columns: B, invertible, N, noninvert_rate, expected_rate
1, 33554399, 33554432, 9.8347663879e-07, 4.8797136865e-07
2, 33554408, 33554432, 7.1525573730e-07, 4.8797136865e-07
4, 33554401, 33554432, 9.2387199402e-07, 4.8797136865e-07
8, 33554410, 33554432, 6.5565109253e-07, 4.8797136865e-07
16, 33554402, 33554432, 8.9406967163e-07, 4.8797136865e-07
32, 33554406, 33554432, 7.7486038208e-07, 4.8797136865e-07
64, 33554397, 33554432, 1.0430812836e-06, 4.8797136865e-07
128, 33554404, 33554432, 8.3446502686e-07, 4.8797136865e-07
256, 33554410, 33554432, 6.5565109253e-07, 4.8797136865e-07
512, 33554410, 33554432, 6.5565109253e-07, 4.8797136865e-07
1024, 33554401, 33554432, 9.2387199402e-07, 4.8797136865e-07
2048, 33554408, 33554432, 7.1525573730e-07, 4.8797136865e-07
